Fecha,Familia_canacero,Vol. Ventas (ton)
2019-04,02.01 LAMINA EN CALIENTE,6430
2019-05,01.01 PLACA DE ROLLO,10557
2019-05,01.02 PLACA DE HOJA,2211
2019-05,02.01 LAMINA EN CALIENTE,7694
2019-05,03.01 LAMINA EN FRIO,752
2019-05,04.01 LAMINA GALVANIZADA,155
2019-05,05.01 PERFILES ESTRUCTURALES,9488
2019-05,06.01 PERFILES COMERCIALES,4059
2019-06,05.01 PERFILES ESTRUCTURALES,8748
2019-06,04.01 LAMINA GALVANIZADA,147
2019-06,03.01 LAMINA EN FRIO,932
2019-06,06.01 PERFILES COMERCIALES,2908
2019-06,01.02 PLACA DE HOJA,2064
2019-06,01.01 PLACA DE ROLLO,10867
2019-06,02.01 LAMINA EN CALIENTE,6306
2019-07,05.01 PERFILES ESTRUCTURALES,9593
2019-07,04.01 LAMINA GALVANIZADA,191
2019-07,03.01 LAMINA EN FRIO,976
2019-07,06.01 PERFILES COMERCIALES,3118
2019-07,01.02 PLACA DE HOJA,2023
2019-07,01.01 PLACA DE ROLLO,13142
2019-07,02.01 LAMINA EN CALIENTE,8004
2019-08,01.01 PLACA DE ROLLO,12534
2019-08,01.02 PLACA DE HOJA,1978
2019-08,02.01 LAMINA EN CALIENTE,7919
2019-08,03.01 LAMINA EN FRIO,743
2019-08,04.01 LAMINA GALVANIZADA,170
2019-08,05.01 PERFILES ESTRUCTURALES,9831
2019-08,06.01 PERFILES COMERCIALES,3736
2019-09,05.01 PERFILES ESTRUCTURALES,8270
2019-09,06.01 PERFILES COMERCIALES,3291
2019-09,03.01 LAMINA EN FRIO,754
2019-09,04.01 LAMINA GALVANIZADA,137
2019-09,02.01 LAMINA EN CALIENTE,5795
2019-09,01.02 PLACA DE HOJA,1370
2019-09,01.01 PLACA DE ROLLO,10417
2019-10,05.01 PERFILES ESTRUCTURALES,7739
2019-10,04.01 LAMINA GALVANIZADA,227
2019-10,03.01 LAMINA EN FRIO,699
2019-10,06.01 PERFILES COMERCIALES,3617
2019-10,01.02 PLACA DE HOJA,2258
2019-10,01.01 PLACA DE ROLLO,12571
2019-10,02.01 LAMINA EN CALIENTE,6993
2019-11,01.01 PLACA DE ROLLO,10989
2019-11,01.02 PLACA DE HOJA,1922
2019-11,02.01 LAMINA EN CALIENTE,7339
2019-11,03.01 LAMINA EN FRIO,897
2019-11,04.01 LAMINA GALVANIZADA,219
2019-11,05.01 PERFILES ESTRUCTURALES,7811
2019-11,06.01 PERFILES COMERCIALES,3803
2019-12,05.01 PERFILES ESTRUCTURALES,7991
2019-12,06.01 PERFILES COMERCIALES,2772
2019-12,04.01 LAMINA GALVANIZADA,172
2019-12,01.01 PLACA DE ROLLO,9159
2019-12,02.01 LAMINA EN CALIENTE,5828
2019-12,01.02 PLACA DE HOJA,2235
2019-12,03.01 LAMINA EN FRIO,818
2020-01,01.01 PLACA DE ROLLO,11316
2020-01,01.02 PLACA DE HOJA,1972
2020-01,02.01 LAMINA EN CALIENTE,9225
2020-01,03.01 LAMINA EN FRIO,1113
2020-01,04.01 LAMINA GALVANIZADA,184
2020-01,05.01 PERFILES ESTRUCTURALES,8098
2020-01,06.01 PERFILES COMERCIALES,3963
2020-02,04.01 LAMINA GALVANIZADA,175
2020-02,06.01 PERFILES COMERCIALES,4413
2020-02,05.01 PERFILES ESTRUCTURALES,7516
2020-02,03.01 LAMINA EN FRIO,972
2020-02,01.02 PLACA DE HOJA,2370
2020-02,01.01 PLACA DE ROLLO,10088
2020-02,02.01 LAMINA EN CALIENTE,8011
