Fecha,Familia_canacero,Vol. Ventas (ton)
2024-08,04.01 LAMINA GALVANIZADA,1269
2024-08,03.01 LAMINA EN FRIO,2233
2024-08,06.01 PERFILES COMERCIALES,4761
2024-08,01.02 PLACA DE HOJA,2836
2024-08,01.01 PLACA DE ROLLO,16394
2024-08,02.01 LAMINA EN CALIENTE,18424
2024-09,01.01 PLACA DE ROLLO,12510
2024-09,01.02 PLACA DE HOJA,2352
2024-09,02.01 LAMINA EN CALIENTE,14132
2024-09,03.01 LAMINA EN FRIO,1757
2024-09,04.01 LAMINA GALVANIZADA,920
2024-09,05.01 PERFILES ESTRUCTURALES,9430
2024-09,06.01 PERFILES COMERCIALES,3959
2024-10,06.01 PERFILES COMERCIALES,4611
2024-10,05.01 PERFILES ESTRUCTURALES,10306
2024-10,04.01 LAMINA GALVANIZADA,773
2024-10,01.02 PLACA DE HOJA,1944
2024-10,02.01 LAMINA EN CALIENTE,14576
2024-10,01.01 PLACA DE ROLLO,13660
2024-10,03.01 LAMINA EN FRIO,1811
2024-11,06.01 PERFILES COMERCIALES,4458
2024-11,04.01 LAMINA GALVANIZADA,695
2024-11,03.01 LAMINA EN FRIO,1592
2024-11,05.01 PERFILES ESTRUCTURALES,10489
2024-11,01.02 PLACA DE HOJA,1764
2024-11,01.01 PLACA DE ROLLO,13729
2024-11,02.01 LAMINA EN CALIENTE,12933
2024-12,05.01 PERFILES ESTRUCTURALES,11469
2024-12,01.01 PLACA DE ROLLO,12287
2024-12,01.02 PLACA DE HOJA,2237
2024-12,02.01 LAMINA EN CALIENTE,13234
2024-12,03.01 LAMINA EN FRIO,1625
2024-12,04.01 LAMINA GALVANIZADA,982
2024-12,06.01 PERFILES COMERCIALES,4206
