,Periodo,Total,Edificación,"Agua, riego y saneamiento",Electricidad y comunicaciones,Transporte,Petróleo y petroquímica,Otras construcciones,Año
77,Junio,-0.6,-0.7,2.7,-3.3,2.7,-5.5,-2.9,2018
78,Julio,-0.5,-2.8,-3.1,2.3,-2.6,15.7,-0.6,2018
79,Agosto,-2.8,-0.2,-6.3,0.1,-4.9,-18.2,-2.2,2018
80,Septiembre,1,1.4,6.7,6.7,-3.8,11.5,4.4,2018
81,Octubre,0.1,-3.9,4.6,10.9,5.3,5.5,0.2,2018
82,Noviembre,-3.7,-1.5,-12.5,-1.1,-4.8,-8.7,-8.7,2018
83,Diciembre,0.7,2.5,15.6,5.6,-3.3,5.5,-4.1,2018
84,Enero,2.1,4.3,-19,-3.8,2.1,1.2,2.9,2019
85,Febrero,-0.6,1.3,13.6,-5.9,-2.5,4.1,-7.9,2019
86,Marzo,-2.7,-2.8,-13.4,4.5,-2.6,10.2,-1.4,2019
87,Abril,-1.6,-1.3,-4.2,-5,-0.1,-8.2,-1.7,2019
88,Mayo,1.2,-0.9,4.3,-5.1,2.9,12.3,-1,2019
89,Junio,1.7,1.5,5.3,4.1,2.4,-1.9,2.8,2019
90,Julio,-2.3,-1.9,-4.7,-3.6,-3.5,-6.7,-2.8,2019
91,Agosto,-1.4,-5.2,-1.3,12.1,-0.4,4.4,0.1,2019
92,Septiembre,-2.3,0.2,-4.7,-5.8,0.9,-12.5,-2.4,2019
93,Octubre,-4,-1.6,-4.3,-9.5,-6.3,-10.8,-2.5,2019
94,Noviembre,2.5,1,0.7,-3.5,4.3,-0.2,6.4,2019
95,Diciembre,-0.3,-3.8,-15.7,-10.1,9.9,-5,2.9,2019
96,Enero,-1.3,-1.2,-1.5,3.5,-4.7,7,-3.2,2020
97,Febrero,-0.1,-1.7,-7.1,-5.2,4.9,-0.2,2.4,2020
98,Marzo,-4.7,-2.6,-8.5,-4.3,-4.1,-6,-3.2,2020
99,Abril,-8.4,-18.2,-5.3,-14.7,15.1,-5.2,-21.6,2020
100,Mayo,-8.5,-9.8,3.6,-21.9,-7.8,-14.5,2.9,2020
101,Junio,1.7,8.2,-0.5,0.2,-5.9,1,2.5,2020
102,Julio,2.4,3,-1.4,10.3,1.4,-14.4,0.9,2020
103,Agosto,1.1,-1.8,4.7,3.3,1.7,10,3.8,2020
