,Producto,Toneladas,Mes,Año,Categoría
2108,Lámina Cromada,11258.114478,May,2015,Planos
2109,Planos con Otros Recubiertos y Trabajos,-1222.8736909999998,May,2015,Planos
2110,Planos de Acero al Silicio,17046.610504999997,May,2015,Planos
2111,Planos de Acero Aleado,135737.678988,May,2015,Planos
2112,Planos de Acero Inoxidable,52883.987187000006,May,2015,Planos
2113,"Cintas, Tiras y Flejes",-389.4964900000002,May,2015,Planos
2115,Alambrón,193011.480901,May,2015,Largos
2116,Alambre y derivados,154718.013818,May,2015,Largos
2117,Alambre,162259.809943,May,2015,Largos
2118,Derivados de alambre,-7541.796124999999,May,2015,Largos
2119,Varilla Corrugada,314736.188997,May,2015,Largos
2120,Perfiles Estructurales (Caliente y Frío),107211.36770800003,May,2015,Largos
2121,Caliente,110774.55091300003,May,2015,Largos
2122,Frío,-3563.1832050000003,May,2015,Largos
2123,Perfiles Comerciales formados en Caliente,48178.350164999996,May,2015,Largos
2124,Barras,110042.63656200003,May,2015,Largos
2125,Perfiles Inoxidables y Aleados,1918.2305690000003,May,2015,Largos
2126,Rieles,2523.850569,May,2015,Largos
2127,TUBOS CON Y SIN COSTURA,139301.134217,May,2015,Terminados
2128,Tubos sin Costura,23190.792811999992,May,2015,Terminados
2129,Tubos con Costura,116110.34140500001,May,2015,Terminados
2130,Tubos c/Costura ≤ 406.4 mm,50029.998104000006,May,2015,Terminados
2131,Tubos c/Costura > 406.4 mm,66080.343301,May,2015,Terminados
2133,Mineral de Hierro,724050.982552,Jun,2015,Materias Primas
2134,Carbón Mineral,1147155.88354,Jun,2015,Materias Primas
2135,Coque,195726.695194,Jun,2015,Materias Primas
2136,Chatarra,567131.0484356667,Jun,2015,Materias Primas
2137,Material Relaminable,3951.437,Jun,2015,Materias Primas
2139,Horno Eléctrico,0.0,Jun,2015,Acero
2140,Convertidor al Oxígeno,0.0,Jun,2015,Acero
2142,HIERRO DE PRIMERA FUSIÓN,920318.785187,Jun,2015,Básicos
2143,Arrabio,441314.785187,Jun,2015,Básicos
2144,Fierro Esponja,479004.0,Jun,2015,Básicos
2145,Ferroaleaciones,18088.209673999998,Jun,2015,Básicos
2146,Granallas y Polvos,5328.786794,Jun,2015,Básicos
2148,Planchón,261440.49900200003,Jun,2015,Semiterminados
2149,"Lingotes, Palanquillas, etc.",4369.769149000001,Jun,2015,Semiterminados
2152,Placa,292081.013318,Jun,2015,Planos
2153,en Rollo,158286.5411,Jun,2015,Planos
2154,en Hoja,133794.47221799998,Jun,2015,Planos
2155,Lámina en Caliente,386057.25811267,Jun,2015,Planos
2156,Lámina en Frío,310051.32829000003,Jun,2015,Planos
2157,Lámina con Recubrimiento,357648.4403146701,Jun,2015,Planos
2158,Lámina Galvanizada,324923.33232867,Jun,2015,Planos
2159,Lámina Estañada (Hojalata),22795.761552999997,Jun,2015,Planos
2160,Lámina Cromada,12599.017379,Jun,2015,Planos
2161,Planos con Otros Recubiertos y Trabajos,-2669.6709459999984,Jun,2015,Planos
2162,Planos de Acero al Silicio,27968.353418000002,Jun,2015,Planos
2163,Planos de Acero Aleado,119010.22174699997,Jun,2015,Planos
2164,Planos de Acero Inoxidable,48036.182054000004,Jun,2015,Planos
2165,"Cintas, Tiras y Flejes",-249.9444040000003,Jun,2015,Planos
2167,Alambrón,177041.525352,Jun,2015,Largos
2168,Alambre y derivados,142915.79851599998,Jun,2015,Largos
2169,Alambre,146888.744106,Jun,2015,Largos
2170,Derivados de alambre,-3972.9455899999994,Jun,2015,Largos
2171,Varilla Corrugada,281221.863716,Jun,2015,Largos
2172,Perfiles Estructurales (Caliente y Frío),112627.949476,Jun,2015,Largos
2173,Caliente,114356.540811,Jun,2015,Largos
2174,Frío,-1728.591335,Jun,2015,Largos
2175,Perfiles Comerciales formados en Caliente,37038.726181,Jun,2015,Largos
2176,Barras,107151.99090100001,Jun,2015,Largos
2177,Perfiles Inoxidables y Aleados,3789.455444,Jun,2015,Largos
2178,Rieles,4234.130344,Jun,2015,Largos
2179,TUBOS CON Y SIN COSTURA,165077.47984400002,Jun,2015,Terminados
2180,Tubos sin Costura,31453.360409000008,Jun,2015,Terminados
2181,Tubos con Costura,133624.119435,Jun,2015,Terminados
2182,Tubos c/Costura ≤ 406.4 mm,57290.173753999996,Jun,2015,Terminados
2183,Tubos c/Costura > 406.4 mm,76333.94568100001,Jun,2015,Terminados
2185,Mineral de Hierro,877811.08334,Jul,2015,Materias Primas
2186,Carbón Mineral,1208357.933349,Jul,2015,Materias Primas
2187,Coque,184871.151351,Jul,2015,Materias Primas
2188,Chatarra,592498.9472596666,Jul,2015,Materias Primas
2189,Material Relaminable,2288.356,Jul,2015,Materias Primas
2191,Horno Eléctrico,0.0,Jul,2015,Acero
2192,Convertidor al Oxígeno,0.0,Jul,2015,Acero
2194,HIERRO DE PRIMERA FUSIÓN,954669.061701,Jul,2015,Básicos
2195,Arrabio,358889.061201,Jul,2015,Básicos
2196,Fierro Esponja,595780.0005,Jul,2015,Básicos
2197,Ferroaleaciones,19560.176449000002,Jul,2015,Básicos
2198,Granallas y Polvos,5242.646301,Jul,2015,Básicos
2200,Planchón,251998.304367,Jul,2015,Semiterminados
2201,"Lingotes, Palanquillas, etc.",2149.585151999998,Jul,2015,Semiterminados
2204,Placa,239416.661969,Jul,2015,Planos
2205,en Rollo,143146.505993,Jul,2015,Planos
2206,en Hoja,96270.15597600001,Jul,2015,Planos
2207,Lámina en Caliente,353303.14588867,Jul,2015,Planos
2208,Lámina en Frío,340880.004018,Jul,2015,Planos
2209,Lámina con Recubrimiento,352844.06132567,Jul,2015,Planos
2210,Lámina Galvanizada,317510.95294267003,Jul,2015,Planos
2211,Lámina Estañada (Hojalata),24982.248797,Jul,2015,Planos
2212,Lámina Cromada,14419.63324,Jul,2015,Planos
2213,Planos con Otros Recubiertos y Trabajos,-4068.7736540000005,Jul,2015,Planos
2214,Planos de Acero al Silicio,20447.427915,Jul,2015,Planos
2215,Planos de Acero Aleado,110230.12791499999,Jul,2015,Planos
2216,Planos de Acero Inoxidable,53780.34055,Jul,2015,Planos
2217,"Cintas, Tiras y Flejes",-126.22684100000015,Jul,2015,Planos
2219,Alambrón,144395.87619600003,Jul,2015,Largos
2220,Alambre y derivados,126469.08525599999,Jul,2015,Largos
2221,Alambre,129237.19265299999,Jul,2015,Largos
2222,Derivados de alambre,-2768.1073970000007,Jul,2015,Largos
2223,Varilla Corrugada,292735.07063,Jul,2015,Largos
2224,Perfiles Estructurales (Caliente y Frío),104694.837402,Jul,2015,Largos
2225,Caliente,108174.067005,Jul,2015,Largos
2226,Frío,-3479.2296029999998,Jul,2015,Largos
2227,Perfiles Comerciales formados en Caliente,42345.758299,Jul,2015,Largos
2228,Barras,112788.778011,Jul,2015,Largos
2229,Perfiles Inoxidables y Aleados,3108.6282759999995,Jul,2015,Largos
2230,Rieles,4839.755861000001,Jul,2015,Largos
2231,TUBOS CON Y SIN COSTURA,192873.78034,Jul,2015,Terminados
2232,Tubos sin Costura,44197.041973,Jul,2015,Terminados
2233,Tubos con Costura,148676.738367,Jul,2015,Terminados
2234,Tubos c/Costura ≤ 406.4 mm,63137.354810000004,Jul,2015,Terminados
2235,Tubos c/Costura > 406.4 mm,85539.38355700001,Jul,2015,Terminados
2237,Mineral de Hierro,741764.43032,Ago,2015,Materias Primas
2238,Carbón Mineral,1001754.6594690001,Ago,2015,Materias Primas
2239,Coque,182508.064687,Ago,2015,Materias Primas
2240,Chatarra,617343.3090626667,Ago,2015,Materias Primas
2241,Material Relaminable,2948.582,Ago,2015,Materias Primas
2243,Horno Eléctrico,0.0,Ago,2015,Acero
2244,Convertidor al Oxígeno,0.0,Ago,2015,Acero
2246,HIERRO DE PRIMERA FUSIÓN,970933.88269,Ago,2015,Básicos
2247,Arrabio,379316.88269,Ago,2015,Básicos
2248,Fierro Esponja,591617.0,Ago,2015,Básicos
2249,Ferroaleaciones,16542.321724999998,Ago,2015,Básicos
2250,Granallas y Polvos,4754.804726,Ago,2015,Básicos
2252,Planchón,355648.741298,Ago,2015,Semiterminados
2253,"Lingotes, Palanquillas, etc.",9576.120366000001,Ago,2015,Semiterminados
2256,Placa,248691.952721,Ago,2015,Planos
2257,en Rollo,140173.287836,Ago,2015,Planos
2258,en Hoja,108518.66488499999,Ago,2015,Planos
2259,Lámina en Caliente,383807.76022666995,Ago,2015,Planos
2260,Lámina en Frío,342558.12846100004,Ago,2015,Planos
2261,Lámina con Recubrimiento,352173.80480467004,Ago,2015,Planos
2262,Lámina Galvanizada,321418.46408967004,Ago,2015,Planos
2263,Lámina Estañada (Hojalata),17048.056291,Ago,2015,Planos
2264,Lámina Cromada,10357.929795,Ago,2015,Planos
2265,Planos con Otros Recubiertos y Trabajos,3349.3546289999995,Ago,2015,Planos
2266,Planos de Acero al Silicio,20751.931685,Ago,2015,Planos
2267,Planos de Acero Aleado,138872.05685799997,Ago,2015,Planos
2268,Planos de Acero Inoxidable,42492.395047,Ago,2015,Planos
2269,"Cintas, Tiras y Flejes",60.80445299999997,Ago,2015,Planos
2271,Alambrón,201487.735732,Ago,2015,Largos
2272,Alambre y derivados,131698.29858400003,Ago,2015,Largos
2273,Alambre,133661.401874,Ago,2015,Largos
2274,Derivados de alambre,-1963.103289999999,Ago,2015,Largos
2275,Varilla Corrugada,312241.875066,Ago,2015,Largos
2276,Perfiles Estructurales (Caliente y Frío),91940.984642,Ago,2015,Largos
2277,Caliente,95753.611271,Ago,2015,Largos
2278,Frío,-3812.6266290000003,Ago,2015,Largos
2279,Perfiles Comerciales formados en Caliente,36489.816943,Ago,2015,Largos
2280,Barras,111384.995453,Ago,2015,Largos
2281,Perfiles Inoxidables y Aleados,629.929669,Ago,2015,Largos
2282,Rieles,14976.87735,Ago,2015,Largos
2283,TUBOS CON Y SIN COSTURA,125090.91810100002,Ago,2015,Terminados
2284,Tubos sin Costura,21434.223108000013,Ago,2015,Terminados
2285,Tubos con Costura,103656.69499300001,Ago,2015,Terminados
2286,Tubos c/Costura ≤ 406.4 mm,56644.49373400001,Ago,2015,Terminados
2287,Tubos c/Costura > 406.4 mm,47012.201259,Ago,2015,Terminados
2289,Mineral de Hierro,846765.661538,Sep,2015,Materias Primas
2290,Carbón Mineral,1334791.7633960003,Sep,2015,Materias Primas
2291,Coque,178709.99467999997,Sep,2015,Materias Primas
2292,Chatarra,646377.9520976666,Sep,2015,Materias Primas
2293,Material Relaminable,3404.379,Sep,2015,Materias Primas
2295,Horno Eléctrico,0.0,Sep,2015,Acero
2296,Convertidor al Oxígeno,0.0,Sep,2015,Acero
2298,HIERRO DE PRIMERA FUSIÓN,966610.66058,Sep,2015,Básicos
2299,Arrabio,403157.66058,Sep,2015,Básicos
2300,Fierro Esponja,563453.0,Sep,2015,Básicos
2301,Ferroaleaciones,22408.998292,Sep,2015,Básicos
2302,Granallas y Polvos,4834.31719,Sep,2015,Básicos
2304,Planchón,272007.598713,Sep,2015,Semiterminados
2305,"Lingotes, Palanquillas, etc.",1383.2411219999985,Sep,2015,Semiterminados
2308,Placa,262406.893981,Sep,2015,Planos
2309,en Rollo,153963.973348,Sep,2015,Planos
2310,en Hoja,108442.920633,Sep,2015,Planos
2311,Lámina en Caliente,385844.88728367,Sep,2015,Planos
2312,Lámina en Frío,310228.18433099997,Sep,2015,Planos
2313,Lámina con Recubrimiento,339652.86054767005,Sep,2015,Planos
2314,Lámina Galvanizada,310986.55304967,Sep,2015,Planos
2315,Lámina Estañada (Hojalata),18564.720432000002,Sep,2015,Planos
2316,Lámina Cromada,13578.094234,Sep,2015,Planos
2317,Planos con Otros Recubiertos y Trabajos,-3476.507168,Sep,2015,Planos
2318,Planos de Acero al Silicio,23693.297392,Sep,2015,Planos
2319,Planos de Acero Aleado,173017.5188,Sep,2015,Planos
2320,Planos de Acero Inoxidable,51278.263316,Sep,2015,Planos
2321,"Cintas, Tiras y Flejes",-248.22123799999963,Sep,2015,Planos
2323,Alambrón,198784.769187,Sep,2015,Largos
2324,Alambre y derivados,159961.83739,Sep,2015,Largos
2325,Alambre,161480.971348,Sep,2015,Largos
2326,Derivados de alambre,-1519.1339579999994,Sep,2015,Largos
2327,Varilla Corrugada,339780.11319999996,Sep,2015,Largos
2328,Perfiles Estructurales (Caliente y Frío),95804.939677,Sep,2015,Largos
2329,Caliente,99151.09079900001,Sep,2015,Largos
2330,Frío,-3346.1511219999998,Sep,2015,Largos
2331,Perfiles Comerciales formados en Caliente,30823.099752000002,Sep,2015,Largos
2332,Barras,104920.23542800001,Sep,2015,Largos
2333,Perfiles Inoxidables y Aleados,778.816839,Sep,2015,Largos
2334,Rieles,3732.228167,Sep,2015,Largos
2335,TUBOS CON Y SIN COSTURA,117590.96526600001,Sep,2015,Terminados
2336,Tubos sin Costura,31478.91586700001,Sep,2015,Terminados
2337,Tubos con Costura,86112.049399,Sep,2015,Terminados
2338,Tubos c/Costura ≤ 406.4 mm,42230.892639,Sep,2015,Terminados
2339,Tubos c/Costura > 406.4 mm,43881.15676,Sep,2015,Terminados
2341,Mineral de Hierro,798621.8559580001,Oct,2015,Materias Primas
2342,Carbón Mineral,1427208.3420300002,Oct,2015,Materias Primas
2343,Coque,235737.091726,Oct,2015,Materias Primas
2344,Chatarra,634061.6667346667,Oct,2015,Materias Primas
2345,Material Relaminable,5600.845532,Oct,2015,Materias Primas
2347,Horno Eléctrico,0.0,Oct,2015,Acero
2348,Convertidor al Oxígeno,0.0,Oct,2015,Acero
2350,HIERRO DE PRIMERA FUSIÓN,691257.1320239999,Oct,2015,Básicos
2351,Arrabio,334503.162024,Oct,2015,Básicos
2352,Fierro Esponja,356753.97,Oct,2015,Básicos
2353,Ferroaleaciones,16926.840633,Oct,2015,Básicos
2354,Granallas y Polvos,4380.8074719999995,Oct,2015,Básicos
2356,Planchón,135366.943534,Oct,2015,Semiterminados
2357,"Lingotes, Palanquillas, etc.",4965.028136999999,Oct,2015,Semiterminados
2360,Placa,222863.26278599998,Oct,2015,Planos
2361,en Rollo,136428.31413299998,Oct,2015,Planos
2362,en Hoja,86434.948653,Oct,2015,Planos
2363,Lámina en Caliente,377304.35820167,Oct,2015,Planos
2364,Lámina en Frío,345769.96486699994,Oct,2015,Planos
2365,Lámina con Recubrimiento,345007.01415267005,Oct,2015,Planos
2366,Lámina Galvanizada,298481.16418767005,Oct,2015,Planos
2367,Lámina Estañada (Hojalata),20467.943836,Oct,2015,Planos
2368,Lámina Cromada,16385.885114,Oct,2015,Planos
2369,Planos con Otros Recubiertos y Trabajos,9672.021015,Oct,2015,Planos
2370,Planos de Acero al Silicio,17230.400433000003,Oct,2015,Planos
2371,Planos de Acero Aleado,94229.06351299997,Oct,2015,Planos
2372,Planos de Acero Inoxidable,55114.233601,Oct,2015,Planos
2373,"Cintas, Tiras y Flejes",100.26908400000002,Oct,2015,Planos
2375,Alambrón,222494.223343,Oct,2015,Largos
2376,Alambre y derivados,165108.69714799998,Oct,2015,Largos
2377,Alambre,168754.68375099998,Oct,2015,Largos
2378,Derivados de alambre,-3645.9866029999994,Oct,2015,Largos
2379,Varilla Corrugada,288482.01391100005,Oct,2015,Largos
2380,Perfiles Estructurales (Caliente y Frío),48462.786843,Oct,2015,Largos
2381,Caliente,52168.10922,Oct,2015,Largos
2382,Frío,-3705.3223770000004,Oct,2015,Largos
2383,Perfiles Comerciales formados en Caliente,40664.064013,Oct,2015,Largos
2384,Barras,103302.50897699999,Oct,2015,Largos
2385,Perfiles Inoxidables y Aleados,1581.1759740000002,Oct,2015,Largos
2386,Rieles,1216.465116,Oct,2015,Largos
2387,TUBOS CON Y SIN COSTURA,130511.167735,Oct,2015,Terminados
2388,Tubos sin Costura,23581.173708999995,Oct,2015,Terminados
2389,Tubos con Costura,106929.994026,Oct,2015,Terminados
2390,Tubos c/Costura ≤ 406.4 mm,57159.75096500001,Oct,2015,Terminados
2391,Tubos c/Costura > 406.4 mm,49770.243061,Oct,2015,Terminados
2393,Mineral de Hierro,497128.249129,Nov,2015,Materias Primas
2394,Carbón Mineral,1334941.0473079998,Nov,2015,Materias Primas
2395,Coque,168971.687454,Nov,2015,Materias Primas
2396,Chatarra,635988.4613336667,Nov,2015,Materias Primas
2397,Material Relaminable,2447.621108,Nov,2015,Materias Primas
2399,Horno Eléctrico,0.0,Nov,2015,Acero
2400,Convertidor al Oxígeno,0.0,Nov,2015,Acero
2402,HIERRO DE PRIMERA FUSIÓN,723893.295313,Nov,2015,Básicos
2403,Arrabio,384469.29442,Nov,2015,Básicos
2404,Fierro Esponja,339424.000893,Nov,2015,Básicos
2405,Ferroaleaciones,20976.313792,Nov,2015,Básicos
2406,Granallas y Polvos,4247.771678000001,Nov,2015,Básicos
2408,Planchón,183190.37241300003,Nov,2015,Semiterminados
2409,"Lingotes, Palanquillas, etc.",9495.788756999998,Nov,2015,Semiterminados
2412,Placa,187439.930818,Nov,2015,Planos
2413,en Rollo,111347.20241399998,Nov,2015,Planos
2414,en Hoja,76092.728404,Nov,2015,Planos
2415,Lámina en Caliente,349390.76605267,Nov,2015,Planos
2416,Lámina en Frío,313666.563902,Nov,2015,Planos
2417,Lámina con Recubrimiento,317229.10130567,Nov,2015,Planos
2418,Lámina Galvanizada,273954.26364767,Nov,2015,Planos
2419,Lámina Estañada (Hojalata),21825.564509,Nov,2015,Planos
2420,Lámina Cromada,18172.541469,Nov,2015,Planos
2421,Planos con Otros Recubiertos y Trabajos,3276.73168,Nov,2015,Planos
2422,Planos de Acero al Silicio,19457.861431,Nov,2015,Planos
2423,Planos de Acero Aleado,95895.05429400002,Nov,2015,Planos
2424,Planos de Acero Inoxidable,56958.20113599999,Nov,2015,Planos
2425,"Cintas, Tiras y Flejes",531.5305830000002,Nov,2015,Planos
2427,Alambrón,203559.002327,Nov,2015,Largos
2428,Alambre y derivados,159760.67732999998,Nov,2015,Largos
2429,Alambre,162837.636998,Nov,2015,Largos
2430,Derivados de alambre,-3076.9596679999995,Nov,2015,Largos
2431,Varilla Corrugada,302271.159276,Nov,2015,Largos
2432,Perfiles Estructurales (Caliente y Frío),57871.797416,Nov,2015,Largos
2433,Caliente,61914.51570299999,Nov,2015,Largos
2434,Frío,-4042.7182869999997,Nov,2015,Largos
2435,Perfiles Comerciales formados en Caliente,43483.24337,Nov,2015,Largos
2436,Barras,100688.47334200001,Nov,2015,Largos
2437,Perfiles Inoxidables y Aleados,1022.4363769999999,Nov,2015,Largos
2438,Rieles,4344.932804,Nov,2015,Largos
2439,TUBOS CON Y SIN COSTURA,108131.88822599998,Nov,2015,Terminados
2440,Tubos sin Costura,6225.370400999993,Nov,2015,Terminados
2441,Tubos con Costura,101906.51782499999,Nov,2015,Terminados
2442,Tubos c/Costura ≤ 406.4 mm,50103.38522899999,Nov,2015,Terminados
2443,Tubos c/Costura > 406.4 mm,51803.132596,Nov,2015,Terminados
2445,Mineral de Hierro,609924.528068,Dic,2015,Materias Primas
2446,Carbón Mineral,1405383.9286449999,Dic,2015,Materias Primas
2447,Coque,179539.34268,Dic,2015,Materias Primas
2448,Chatarra,654766.5434166667,Dic,2015,Materias Primas
2449,Material Relaminable,2649.51,Dic,2015,Materias Primas
2451,Horno Eléctrico,0.0,Dic,2015,Acero
2452,Convertidor al Oxígeno,0.0,Dic,2015,Acero
2454,HIERRO DE PRIMERA FUSIÓN,900181.529628,Dic,2015,Básicos
2455,Arrabio,534190.1295779999,Dic,2015,Básicos
2456,Fierro Esponja,365991.40005,Dic,2015,Básicos
2457,Ferroaleaciones,21194.367124,Dic,2015,Básicos
2458,Granallas y Polvos,4336.463702,Dic,2015,Básicos
2460,Planchón,504645.884999,Dic,2015,Semiterminados
2461,"Lingotes, Palanquillas, etc.",12402.433705,Dic,2015,Semiterminados
2464,Placa,249377.0994660001,Dic,2015,Planos
2465,en Rollo,148510.45816500008,Dic,2015,Planos
2466,en Hoja,100866.64130100001,Dic,2015,Planos
2467,Lámina en Caliente,392348.83121067,Dic,2015,Planos
2468,Lámina en Frío,276915.46145500004,Dic,2015,Planos
2469,Lámina con Recubrimiento,300593.30410867,Dic,2015,Planos
2470,Lámina Galvanizada,262398.61254167,Dic,2015,Planos
2471,Lámina Estañada (Hojalata),30439.41764,Dic,2015,Planos
2472,Lámina Cromada,11214.354909,Dic,2015,Planos
2473,Planos con Otros Recubiertos y Trabajos,-3459.0809819999995,Dic,2015,Planos
2474,Planos de Acero al Silicio,15218.778197999998,Dic,2015,Planos
2475,Planos de Acero Aleado,93924.634731,Dic,2015,Planos
2476,Planos de Acero Inoxidable,47874.539736000006,Dic,2015,Planos
2477,"Cintas, Tiras y Flejes",-975.6515709999996,Dic,2015,Planos
2479,Alambrón,165095.758123,Dic,2015,Largos
2480,Alambre y derivados,133213.27053399998,Dic,2015,Largos
2481,Alambre,136506.054241,Dic,2015,Largos
2482,Derivados de alambre,-3292.7837070000005,Dic,2015,Largos
2483,Varilla Corrugada,255435.598937,Dic,2015,Largos
2484,Perfiles Estructurales (Caliente y Frío),82654.798952,Dic,2015,Largos
2485,Caliente,87150.28196200001,Dic,2015,Largos
2486,Frío,-4495.483009999999,Dic,2015,Largos
2487,Perfiles Comerciales formados en Caliente,21557.343687,Dic,2015,Largos
2488,Barras,109627.82204600002,Dic,2015,Largos
2489,Perfiles Inoxidables y Aleados,1747.779947,Dic,2015,Largos
2490,Rieles,5800.808138,Dic,2015,Largos
2491,TUBOS CON Y SIN COSTURA,188202.311675,Dic,2015,Terminados
2492,Tubos sin Costura,44335.11450299998,Dic,2015,Terminados
2493,Tubos con Costura,143867.19717200001,Dic,2015,Terminados
2494,Tubos c/Costura ≤ 406.4 mm,73864.926175,Dic,2015,Terminados
2495,Tubos c/Costura > 406.4 mm,70002.270997,Dic,2015,Terminados
2497,Mineral de Hierro,597346.282875,Ene,2016,Materias Primas
2498,Carbón Mineral,1692556.531652,Ene,2016,Materias Primas
2499,Coque,201008.11375,Ene,2016,Materias Primas
2500,Chatarra,602603.7236945555,Ene,2016,Materias Primas
2501,Material Relaminable,3512.956815,Ene,2016,Materias Primas
2503,Horno Eléctrico,0.0,Ene,2016,Acero
2504,Convertidor al Oxígeno,0.0,Ene,2016,Acero
2506,HIERRO DE PRIMERA FUSIÓN,782099.589525,Ene,2016,Básicos
2507,Arrabio,391330.078525,Ene,2016,Básicos
2508,Fierro Esponja,390769.511,Ene,2016,Básicos
2509,Ferroaleaciones,20956.87352666667,Ene,2016,Básicos
2510,Granallas y Polvos,4299.148072000001,Ene,2016,Básicos
2512,Planchón,312706.874856,Ene,2016,Semiterminados
2513,"Lingotes, Palanquillas, etc.",-1209.8243810000004,Ene,2016,Semiterminados
2516,Placa,236710.73670399998,Ene,2016,Planos
2517,en Rollo,155716.220588,Ene,2016,Planos
2518,en Hoja,80994.51611599998,Ene,2016,Planos
2519,Lámina en Caliente,398260.110011,Ene,2016,Planos
2520,Lámina en Frío,400541.17991500004,Ene,2016,Planos
2521,Lámina con Recubrimiento,325127.821198,Ene,2016,Planos
2522,Lámina Galvanizada,291772.976412,Ene,2016,Planos
2523,Lámina Estañada (Hojalata),29671.643168000002,Ene,2016,Planos
2524,Lámina Cromada,14415.229186999999,Ene,2016,Planos
2525,Planos con Otros Recubiertos y Trabajos,-10732.027568999998,Ene,2016,Planos
2526,Planos de Acero al Silicio,18733.763776,Ene,2016,Planos
2527,Planos de Acero Aleado,110691.47713799999,Ene,2016,Planos
2528,Planos de Acero Inoxidable,56235.140018000006,Ene,2016,Planos
2529,"Cintas, Tiras y Flejes",844.458164,Ene,2016,Planos
2531,Alambrón,184302.815374,Ene,2016,Largos
2532,Alambre y derivados,149002.32525,Ene,2016,Largos
2533,Alambre,149405.345849,Ene,2016,Largos
2534,Derivados de alambre,-403.0205990000004,Ene,2016,Largos
2535,Varilla Corrugada,310012.285187,Ene,2016,Largos
2536,Perfiles Estructurales (Caliente y Frío),82550.639952,Ene,2016,Largos
2537,Caliente,85221.958188,Ene,2016,Largos
2538,Frío,-2671.3182359999996,Ene,2016,Largos
2539,Perfiles Comerciales formados en Caliente,28325.162266000003,Ene,2016,Largos
2540,Barras,96954.198162,Ene,2016,Largos
2541,Perfiles Inoxidables y Aleados,3051.9725700000004,Ene,2016,Largos
2542,Rieles,4030.2417750000004,Ene,2016,Largos
2543,TUBOS CON Y SIN COSTURA,78212.65640200002,Ene,2016,Terminados
2544,Tubos sin Costura,12421.986391000006,Ene,2016,Terminados
2545,Tubos con Costura,65790.67001100001,Ene,2016,Terminados
2546,Tubos c/Costura ≤ 406.4 mm,35985.33164000001,Ene,2016,Terminados
2547,Tubos c/Costura > 406.4 mm,29805.338370999998,Ene,2016,Terminados
2549,Mineral de Hierro,791962.06218,Feb,2016,Materias Primas
2550,Carbón Mineral,1691331.470282,Feb,2016,Materias Primas
2551,Coque,208270.514001,Feb,2016,Materias Primas
2552,Chatarra,559890.0001635555,Feb,2016,Materias Primas
2553,Material Relaminable,1908.158,Feb,2016,Materias Primas
2555,Horno Eléctrico,0.0,Feb,2016,Acero
2556,Convertidor al Oxígeno,0.0,Feb,2016,Acero
2558,HIERRO DE PRIMERA FUSIÓN,795886.53842,Feb,2016,Básicos
2559,Arrabio,374651.48842,Feb,2016,Básicos
2560,Fierro Esponja,421235.05,Feb,2016,Básicos
2561,Ferroaleaciones,17970.44867266667,Feb,2016,Básicos
2562,Granallas y Polvos,4336.692192,Feb,2016,Básicos
2564,Planchón,339972.463077,Feb,2016,Semiterminados
2565,"Lingotes, Palanquillas, etc.",10414.702297999998,Feb,2016,Semiterminados
2568,Placa,235407.347283,Feb,2016,Planos
2569,en Rollo,143239.633409,Feb,2016,Planos
2570,en Hoja,92167.71387400001,Feb,2016,Planos
2571,Lámina en Caliente,314886.805469,Feb,2016,Planos
2572,Lámina en Frío,361674.001387,Feb,2016,Planos
2573,Lámina con Recubrimiento,362143.14426300005,Feb,2016,Planos
2574,Lámina Galvanizada,329363.790884,Feb,2016,Planos
2575,Lámina Estañada (Hojalata),28585.661135000002,Feb,2016,Planos
2576,Lámina Cromada,13039.870261999999,Feb,2016,Planos
2577,Planos con Otros Recubiertos y Trabajos,-8846.178017999999,Feb,2016,Planos
2578,Planos de Acero al Silicio,12986.458789,Feb,2016,Planos
2579,Planos de Acero Aleado,96250.19696300001,Feb,2016,Planos
2580,Planos de Acero Inoxidable,47216.788407,Feb,2016,Planos
2581,"Cintas, Tiras y Flejes",185.58569799999998,Feb,2016,Planos
2583,Alambrón,202877.337858,Feb,2016,Largos
2584,Alambre y derivados,159132.667727,Feb,2016,Largos
2585,Alambre,162024.660046,Feb,2016,Largos
2586,Derivados de alambre,-2891.992318999997,Feb,2016,Largos
2587,Varilla Corrugada,331941.71469,Feb,2016,Largos
2588,Perfiles Estructurales (Caliente y Frío),62955.37844099999,Feb,2016,Largos
2589,Caliente,69776.568174,Feb,2016,Largos
2590,Frío,-6821.189732999999,Feb,2016,Largos
2591,Perfiles Comerciales formados en Caliente,27996.211927,Feb,2016,Largos
2592,Barras,108455.294041,Feb,2016,Largos
2593,Perfiles Inoxidables y Aleados,1415.072839,Feb,2016,Largos
2594,Rieles,2631.438697,Feb,2016,Largos
2595,TUBOS CON Y SIN COSTURA,99707.47548800003,Feb,2016,Terminados
2596,Tubos sin Costura,16457.87240300001,Feb,2016,Terminados
2597,Tubos con Costura,83249.60308500001,Feb,2016,Terminados
2598,Tubos c/Costura ≤ 406.4 mm,45109.84058800001,Feb,2016,Terminados
2599,Tubos c/Costura > 406.4 mm,38139.762496999996,Feb,2016,Terminados
2601,Mineral de Hierro,615344.527246,Mar,2016,Materias Primas
2602,Carbón Mineral,1049076.925239,Mar,2016,Materias Primas
2603,Coque,210776.12781099998,Mar,2016,Materias Primas
2604,Chatarra,631295.5748305555,Mar,2016,Materias Primas
