Año,Mes,País,Producto,Importacion
2024,Febrero,Panamá,Laminados,17.753826999999998
2024,Febrero,Paraguay,Largos,7.548329599999999
2024,Febrero,Paraguay,Planos,20.901702699999998
2024,Febrero,Paraguay,Tubos Sin Costura,0.09094819999999998
2024,Febrero,Paraguay,Laminados,28.540980499999996
2024,Febrero,Perú,Largos,61.722089700000005
2024,Febrero,Perú,Planos,53.735627469999976
2024,Febrero,Perú,Tubos Sin Costura,3.307878639999999
2024,Febrero,Perú,Laminados,118.76559580999998
2024,Febrero,Uruguay,Largos,4.821907
2024,Febrero,Uruguay,Planos,3.883564
2024,Febrero,Uruguay,Tubos Sin Costura,0.113426
2024,Febrero,Uruguay,Laminados,8.818897
2024,Febrero,Venezuela,Largos,2.53127
2024,Febrero,Venezuela,Planos,3.839896
2024,Febrero,Venezuela,Tubos Sin Costura,0.629611
2024,Febrero,Venezuela,Laminados,7.000777
2024,Marzo,Argentina,Largos,8.985
2024,Marzo,Argentina,Planos,57.941
2024,Marzo,Argentina,Tubos Sin Costura,3.374
2024,Marzo,Argentina,Laminados,70.3
2024,Marzo,Bolivia,Largos,22.401648
2024,Marzo,Bolivia,Planos,12.243122
2024,Marzo,Bolivia,Tubos Sin Costura,0.613327
2024,Marzo,Bolivia,Laminados,35.258097
2024,Marzo,Brasil,Largos,74.925
2024,Marzo,Brasil,Planos,284.042
2024,Marzo,Brasil,Tubos Sin Costura,0.0
2024,Marzo,Brasil,Laminados,358.967
2024,Marzo,Chile,Largos,45.20396033999998
2024,Marzo,Chile,Planos,89.02842695000002
2024,Marzo,Chile,Tubos Sin Costura,2.0980653400000016
2024,Marzo,Chile,Laminados,136.33045263000002
2024,Marzo,Colombia,Largos,52.13534572
2024,Marzo,Colombia,Planos,95.47699913
2024,Marzo,Colombia,Tubos Sin Costura,8.81086067
2024,Marzo,Colombia,Laminados,156.42320552
2024,Marzo,Costa Rica,Largos,11.145342579999994
2024,Marzo,Costa Rica,Planos,32.18005874
2024,Marzo,Costa Rica,Tubos Sin Costura,0.17364173000000016
2024,Marzo,Costa Rica,Laminados,43.49904305
2024,Marzo,Ecuador,Largos,4.642308810000001
2024,Marzo,Ecuador,Planos,93.11014846000002
2024,Marzo,Ecuador,Tubos Sin Costura,6.3922989000000054
2024,Marzo,Ecuador,Laminados,104.14475617000002
2024,Marzo,El Salvador,Largos,9.086348710000006
2024,Marzo,El Salvador,Planos,16.701241890000002
2024,Marzo,El Salvador,Tubos Sin Costura,0.2244215
2024,Marzo,El Salvador,Laminados,26.012012100000007
2024,Marzo,Guatemala,Largos,23.826236
2024,Marzo,Guatemala,Planos,42.561518
2024,Marzo,Guatemala,Tubos Sin Costura,0.233576
2024,Marzo,Guatemala,Laminados,66.62133
2024,Marzo,Honduras,Largos,15.515055959999998
2024,Marzo,Honduras,Planos,30.67053596000001
2024,Marzo,Honduras,Tubos Sin Costura,0.20088212000000003
2024,Marzo,Honduras,Laminados,46.38647404000001
2024,Marzo,México,Largos,216.75949521839
2024,Marzo,México,Planos,881.56033131078
2024,Marzo,México,Tubos Sin Costura,11.27201870691
2024,Marzo,México,Laminados,1109.5918452360802
2024,Marzo,Panamá,Largos,21.511594
2024,Marzo,Panamá,Planos,15.369916
2024,Marzo,Panamá,Tubos Sin Costura,0.131795
2024,Marzo,Panamá,Laminados,37.013304999999995
2024,Marzo,Paraguay,Largos,7.6250564
2024,Marzo,Paraguay,Planos,16.1326213
2024,Marzo,Paraguay,Tubos Sin Costura,0.10977240000000002
2024,Marzo,Paraguay,Laminados,23.867450100000003
2024,Marzo,Perú,Largos,90.64661951000016
2024,Marzo,Perú,Planos,88.96383711
