,Fecha,Total,Edificación,"Agua, riego y saneamiento",Electricidad y comunicaciones,Transporte,Petróleo y petroquímica,Otras construcciones
83,2018-12,0.7,2.5,15.6,5.6,-3.3,5.5,-4.1
84,2019-01,2.1,4.3,-19,-3.8,2.1,1.2,2.9
85,2019-02,-0.6,1.3,13.6,-5.9,-2.5,4.1,-7.9
86,2019-03,-2.7,-2.8,-13.4,4.5,-2.6,10.2,-1.4
87,2019-04,-1.6,-1.3,-4.2,-5,-0.1,-8.2,-1.7
88,2019-05,1.2,-0.9,4.3,-5.1,2.9,12.3,-1
89,2019-06,1.7,1.5,5.3,4.1,2.4,-1.9,2.8
90,2019-07,-2.3,-1.9,-4.7,-3.6,-3.5,-6.7,-2.8
91,2019-08,-1.4,-5.2,-1.3,12.1,-0.4,4.4,0.1
92,2019-09,-2.3,0.2,-4.7,-5.8,0.9,-12.5,-2.4
93,2019-10,-4,-1.6,-4.3,-9.5,-6.3,-10.8,-2.5
94,2019-11,2.5,1,0.7,-3.5,4.3,-0.2,6.4
95,2019-12,-0.3,-3.8,-15.7,-10.1,9.9,-5,2.9
96,2020-01,-1.3,-1.2,-1.5,3.5,-4.7,7,-3.2
97,2020-02,-0.1,-1.7,-7.1,-5.2,4.9,-0.2,2.4
98,2020-03,-4.7,-2.6,-8.5,-4.3,-4.1,-6,-3.2
99,2020-04,-8.4,-18.2,-5.3,-14.7,15.1,-5.2,-21.6
100,2020-05,-8.5,-9.8,3.6,-21.9,-7.8,-14.5,2.9
101,2020-06,1.7,8.2,-0.5,0.2,-5.9,1,2.5
102,2020-07,2.4,3,-1.4,10.3,1.4,-14.4,0.9
103,2020-08,1.1,-1.8,4.7,3.3,1.7,10,3.8
104,2020-09,-0.6,-0.8,5.6,4.9,-4.9,24.6,0
105,2020-10,2.2,2.3,-0.1,-7.5,7.5,-24.1,4.3
106,2020-11,-2.7,1.8,-2.3,2.5,-9.9,-7,0.3
107,2020-12,0,0.7,-6.2,-20.7,-2,16.2,2.2
