Fecha,Low,Mid,High
1983-08,22.05,22.05,22.05
1983-09,22.9,22.9,22.9
1983-10,22.9,22.9,22.9
1983-11,22.9,22.9,22.9
1983-12,22.9,22.9,22.9
1984-01,23.57,23.57,23.57
1984-02,23.6,23.6,23.6
1984-03,23.6,23.6,23.6
1984-04,23.6,23.6,23.6
1984-05,23.6,23.6,23.6
1984-06,23.6,23.6,23.6
1984-07,23.6,23.6,23.6
1984-08,23.6,23.6,23.6
1984-09,23.6,23.6,23.6
1984-10,23.6,23.6,23.6
1984-11,23.6,23.6,23.6
1984-12,23.6,23.6,23.6
1985-01,23.6,23.6,23.6
1985-02,23.6,23.6,23.6
1985-03,23.6,23.6,23.6
1985-04,23.6,23.6,23.6
1985-05,23.6,23.6,23.6
1985-06,23.6,23.6,23.6
1985-07,23.6,23.6,23.6
1985-08,23.6,23.6,23.6
1985-09,23.6,23.6,23.6
1985-10,23.6,23.6,23.6
1985-11,23.6,23.6,23.6
1985-12,23.6,23.6,23.6
1986-01,20.88,20.88,20.88
1986-02,20.75,20.75,20.75
1986-03,20.75,20.75,20.75
1986-04,20.75,20.75,20.75
1986-05,21.21,21.21,21.21
1986-06,21.35,21.35,21.35
1986-07,21.35,21.35,21.35
1986-08,21.35,21.35,21.35
1986-09,21.35,21.35,21.35
1986-10,21.35,21.35,21.35
1986-11,21.35,21.35,21.35
1986-12,21.35,21.35,21.35
1987-01,21.54,21.54,21.54
1987-02,22.1,22.1,22.1
1987-03,22.1,22.1,22.1
1987-04,22.1,22.1,22.1
1987-05,22.1,22.1,22.1
1987-06,22.1,22.1,22.1
1987-07,22.1,22.1,22.1
1987-08,22.1,22.1,22.1
1987-09,22.1,22.1,22.1
1987-10,21.75,21.75,21.75
1987-11,21.5,21.5,21.5
1987-12,21.5,21.5,21.5
1988-01,21.5,21.5,21.5
1988-02,21.5,21.5,21.5
1988-03,21.5,21.5,21.5
1988-04,21.5,21.5,21.5
1988-05,21.5,21.5,21.5
1988-06,21.5,21.5,21.5
1988-07,21.5,21.5,21.5
1988-08,21.5,21.5,21.5
1988-09,21.5,21.5,21.5
1988-10,21.5,21.5,21.5
1988-11,21.5,21.5,21.5
1988-12,21.5,21.5,21.5
1989-01,21.82,21.82,21.82
1989-02,22.25,22.25,22.25
1989-03,22.25,22.25,22.25
1989-04,22.25,22.25,22.25
1989-05,22.25,22.25,22.25
1989-06,22.25,22.25,22.25
1989-07,22.25,22.25,22.25
1989-08,22.25,22.25,22.25
1989-09,22.25,22.25,22.25
1989-10,22.25,22.25,22.25
1989-11,22.25,22.25,22.25
1989-12,22.25,22.25,22.25
1990-01,22.25,22.25,22.25
1990-02,22.25,22.25,22.25
1990-03,22.25,22.25,22.25
1990-04,22.25,22.25,22.25
1990-05,22.25,22.25,22.25
1990-06,22.25,22.25,22.25
1990-07,22.25,22.25,22.25
1990-08,22.25,22.25,22.25
1990-09,22.25,22.25,22.25
1990-10,22.25,22.25,22.25
1990-11,22.25,22.25,22.25
1990-12,22.25,22.25,22.25
1991-01,22.25,22.25,22.25
1991-02,22.25,22.25,22.25
1991-03,22.25,22.25,22.25
1991-04,22.25,22.25,22.25
1991-05,22.25,22.25,22.25
1991-06,22.25,22.25,22.25
1991-07,22.25,22.25,22.25
1991-08,22.25,22.25,22.25
1991-09,22.25,22.25,22.25
1991-10,24.75,24.75,24.75
1991-11,24.75,24.75,24.75
1991-12,24.75,24.75,24.75
1992-01,24.75,24.75,24.75
1992-02,24.75,24.75,24.75
1992-03,24.75,24.75,24.75
1992-04,17.25,17.25,17.25
1992-05,17.25,17.25,17.25
1992-06,17.25,17.25,17.25
1992-07,17.25,17.25,17.25
1992-08,17.25,17.25,17.25
1992-09,17.25,17.25,17.25
1992-10,17.25,17.25,17.25
1992-11,17.25,17.25,17.25
