Año,Mes,País,Producto,Consumo
2024,Febrero,México,Largos,753.52167865444
2024,Febrero,México,Planos,1490.01250623655
2024,Febrero,México,Tubos Sin Costura,8.793177703530006
2024,Febrero,México,Laminados,2252.3273625945203
2024,Febrero,Panamá,Largos,11.652786
2024,Febrero,Panamá,Planos,4.467049
2024,Febrero,Panamá,Tubos Sin Costura,1.090403
2024,Febrero,Panamá,Laminados,17.210238
2024,Febrero,Paraguay,Largos,8.535381137887734
2024,Febrero,Paraguay,Planos,20.888986699999997
2024,Febrero,Paraguay,Tubos Sin Costura,0.09094819999999998
2024,Febrero,Paraguay,Laminados,29.51531603788773
2024,Febrero,Perú,Largos,183.80358184004956
2024,Febrero,Perú,Planos,56.575476550850205
2024,Febrero,Perú,Tubos Sin Costura,3.139657239999999
2024,Febrero,Perú,Laminados,243.51871563089975
2024,Febrero,República Dominicana,Largos,47.33010433419448
2024,Febrero,República Dominicana,Planos,4.273712435183849
2024,Febrero,República Dominicana,Tubos Sin Costura,0.0
2024,Febrero,República Dominicana,Laminados,51.60381676937833
2024,Febrero,Uruguay,Largos,10.41213684748414
2024,Febrero,Uruguay,Planos,3.883564
2024,Febrero,Uruguay,Tubos Sin Costura,0.113426
2024,Febrero,Uruguay,Laminados,14.40912684748414
2024,Febrero,Venezuela,Largos,9.8998321417325
2024,Febrero,Venezuela,Planos,3.839896
2024,Febrero,Venezuela,Tubos Sin Costura,0.629611
2024,Febrero,Venezuela,Laminados,14.3693391417325
2024,Marzo,Argentina,Largos,50.144999999999996
2024,Marzo,Argentina,Planos,176.756
2024,Marzo,Argentina,Tubos Sin Costura,10.029000000000003
2024,Marzo,Argentina,Laminados,236.93
2024,Marzo,Bolivia,Largos,22.401648
2024,Marzo,Bolivia,Planos,12.192192
2024,Marzo,Bolivia,Tubos Sin Costura,0.613327
2024,Marzo,Bolivia,Laminados,35.207167
2024,Marzo,Brasil,Largos,819.429
2024,Marzo,Brasil,Planos,1291.185
2024,Marzo,Brasil,Tubos Sin Costura,0.0
2024,Marzo,Brasil,Laminados,2110.614
2024,Marzo,Chile,Largos,121.89289439999979
2024,Marzo,Chile,Planos,85.17449500000002
2024,Marzo,Chile,Tubos Sin Costura,1.9936078300000015
2024,Marzo,Chile,Laminados,209.0609972299998
2024,Marzo,Colombia,Largos,202.01911281000002
2024,Marzo,Colombia,Planos,89.1336573
2024,Marzo,Colombia,Tubos Sin Costura,5.7217847200000005
2024,Marzo,Colombia,Laminados,296.87455483
2024,Marzo,Costa Rica,Largos,33.527807551363125
2024,Marzo,Costa Rica,Planos,28.65465448
2024,Marzo,Costa Rica,Tubos Sin Costura,0.16559972000000017
2024,Marzo,Costa Rica,Laminados,62.34806175136313
2024,Marzo,Ecuador,Largos,68.93917127075625
2024,Marzo,Ecuador,Planos,92.75730756000002
2024,Marzo,Ecuador,Tubos Sin Costura,6.333840300000006
2024,Marzo,Ecuador,Laminados,168.03031913075625
2024,Marzo,El Salvador,Largos,3.5267542700000067
2024,Marzo,El Salvador,Planos,11.161530650000001
2024,Marzo,El Salvador,Tubos Sin Costura,0.22311261
2024,Marzo,El Salvador,Laminados,14.911397530000007
2024,Marzo,Guatemala,Largos,45.03814519997326
2024,Marzo,Guatemala,Planos,37.329212
2024,Marzo,Guatemala,Tubos Sin Costura,0.08401
2024,Marzo,Guatemala,Laminados,82.45136719997326
2024,Marzo,Honduras,Largos,11.408229249999998
2024,Marzo,Honduras,Planos,28.66778740000001
2024,Marzo,Honduras,Tubos Sin Costura,0.20088212000000003
2024,Marzo,Honduras,Laminados,40.27689877000001
2024,Marzo,México,Largos,743.76991023504
2024,Marzo,México,Planos,1525.7458676605602
2024,Marzo,México,Tubos Sin Costura,20.126307950169995
2024,Marzo,México,Laminados,2289.64208584577
2024,Marzo,Panamá,Largos,21.356908999999998
2024,Marzo,Panamá,Planos,15.307601
