Fecha,Alambre,Alambre y derivados,Alambrón,Arrabio,Barras,Caliente,Carbón Mineral,Chatarra,"Cintas, Tiras y Flejes",Coque,Derivados de alambre,Ferroaleaciones,Fierro Esponja,Frío,Granallas y Polvos,HIERRO DE PRIMERA FUSIÓN,"Lingotes, Palanquillas, etc.",Lámina con Recubrimiento,Material Relaminable,Mineral de Hierro,PLANOS,Perfiles Comerciales formados en Caliente,Perfiles Estructurales (Caliente y Frío),Perfiles Inoxidables y Aleados,Planchón,Planos con Otros Recubiertos y Trabajos,Planos de Acero Aleado,Planos de Acero Inoxidable,Planos de Acero al Silicio,Rieles,TUBOS CON Y SIN COSTURA,Tubos c/Costura > 406.4 mm,Tubos c/Costura ≤ 406.4 mm,Tubos con Costura,Tubos sin Costura,Varilla Corrugada
2016-04,157105.57474900002,152324.166272,204902.001541,318534.91952,98751.25163099999,83684.78543300001,1334632.486864,557047.9192925554,698.159512,202355.504779,-4781.408476999998,20542.22267066667,491565.0025,-4824.992998000001,4490.094675,810099.9220199999,24472.754559999998,376685.745088,1665.821,916785.3530900001,1417098.868821,26411.748316999998,78859.79243500001,3346.9616840000003,251601.94793400003,-3192.8663589999996,143807.15811599998,62053.96527400001,18221.799124,2948.869575,86983.19978599998,32674.16661,34650.46249,67324.62909999999,19658.570686,345757.594094
2016-05,164073.329489,157815.48227299997,204669.762133,378880.587018,115427.783739,79676.522971,1520081.1866390002,633148.6944325555,374.98511599999995,166051.479196,-6257.847216000001,21967.586346666667,579906.56,-7373.580581,3891.190926,958787.147018,24539.112294000006,387338.490138,3992.338584,844136.383966,1280698.7844289995,35191.160914,72302.94239,2851.173,315868.90105499997,-915.2744700000003,116003.08021799999,66982.726422,9998.980673999999,2081.934803,103947.08689699999,49242.727562,37118.765037,86361.49259899999,17585.594297999996,318366.66208499996
2016-06,187008.87433499997,182849.133577,219389.797902,435716.466176,107150.592246,91065.6765815,1205457.853508,661548.1613045556,164.9205890000003,188806.163292,-4159.7407579999945,25989.658851666667,567645.00103,-6038.209566,4807.0515159999995,1003361.4672060001,6478.07989,338959.326549,3047.928,1222725.926875,1252705.9990849998,33581.456093,85027.4670155,4388.3344210000005,330076.19456,480.29473599999983,104435.72209800003,49012.20637200001,17574.168654000005,3523.48335,115152.23844800002,80557.787895,31376.594177000006,111934.38207200001,3217.856376000018,349822.86997
2016-07,188066.02496,185569.68189100001,233331.873856,488076.118103,109524.81359300001,82334.078905,1362893.345127,689147.5518265555,-317.592165,172692.7438,-2496.3430689999986,22601.799688666673,500816.545,-4281.291876000001,4968.749771000001,988892.663103,-8031.021729000001,352166.58799300005,1988.3632659999998,859548.863245,1289084.9946680001,38381.221121999995,78052.787029,1672.513288,207743.54733600002,2199.100538999999,126850.72987200001,56343.462938,14503.214726,6952.262645,100992.67739399997,44375.128061999996,39314.988234000004,83690.116296,17302.561097999984,353267.857197
2016-08,179075.977542,176193.29083299998,213559.40236900002,420286.120645,115527.535642,87512.700349,1462297.532976,690872.5798515555,350.09718299999986,209517.492224,-2882.6867090000032,26517.023007666667,552472.839,-3658.8583120000003,5323.137031,972758.959645,3482.385001999999,365809.333877,1685.276237,910680.263525,1368636.694812,34576.334924,83853.842037,4225.8557630000005,233997.360055,721.2468330000011,159272.85190599994,66444.41984300001,15048.330614999999,1573.303269,127968.87097500003,62885.211266000006,51811.599747000015,114696.81101300003,13272.059962,320583.376953
2016-09,172191.75916299998,182105.158638,212699.065847,473265.140703,117049.0396,101189.281335,1348275.026896,789276.1610335555,849.6246419999999,190600.829142,9913.399475000007,23524.91569966667,528529.45,-4848.964380000001,4679.197286,1001794.590703,3512.5975350000003,360766.198394,3515.6978329999997,1053478.146381,1321955.808991,34231.814782,96340.316955,5647.849112,275005.467376,-1555.5638929999986,93493.437049,57592.811585999996,19608.452131000002,3123.11339,165306.052227,91316.960625,54083.73886299999,145400.699488,19905.352738999987,309464.605445
2016-10,170578.83808,204603.884632,219266.004499,533646.03018,113928.08306400002,106534.83976799999,1538076.890173,631215.6166895555,-33.356702999999925,215031.63344099998,34025.046552,23607.431399666668,471867.002,-3552.431596,4134.346809000001,1005513.03218,9206.053616,389051.784621,2027.136,963979.7726810001,1317498.3387019997,35749.525200000004,102982.408172,6130.299444,351295.775503,-2200.565841999998,116584.96758899998,62656.580352,11773.199425,3538.259951,152486.74831400003,83006.64638500001,47036.356552000005,130043.00293700001,22443.745377,334400.358024
2016-11,155068.94348,151439.618555,199372.58438000001,455392.433901,112774.70723799999,105011.067855,985155.494176,618220.3727095554,-157.98074399999996,199177.24349199998,-3629.324924999998,19529.098037666667,543136.951485,-5334.8121360000005,4723.42134,998529.3853859999,7045.8945109999995,393072.47344299994,5378.374147,967909.5812339999,1483809.4298309998,33676.488710000005,99676.25571900001,6565.0767590000005,287235.284162,848.588796,190009.59414300002,59339.196096,15789.623366,9481.678274,126083.94118,61699.78672800001,51600.70231900001,113300.48904700001,12783.452132999984,331155.254239
2016-12,153256.8146702,149311.3124992,185892.00364399998,426231.364749,114473.281211,98846.478596,1222737.900048,698754.0586377556,1045.293627,312752.454503,-3945.5021709999974,24518.280632666665,434150.896,-4948.503712,4158.742233000001,860382.260749,2057.9076910000013,352660.42304379994,4127.712085,883529.666538,1247574.3747202998,27036.514507000004,93897.974884,3198.8089990000003,198089.370477,-1844.5501492000003,160534.94480599998,45650.325653999986,15233.265866000002,3805.085893,111724.54266649998,45812.876394000006,44050.5927875,89863.4691815,21861.073484999986,266357.34346
2017-01,182056.101506,178801.615376,226388.66126,381260.09278,106226.898271,96588.810296,1115811.623855,706248.7419246001,934.8688570000004,164517.194828,-3254.486130000001,18025.814867,554977.765,500.93935100000044,4384.517258,936237.85778,192514.237337,386623.034252,1078.02,955800.845574,1436597.5315092998,35606.061585,97089.749647,3787.331181,309056.95952499995,-5166.101511000001,198407.53439099996,67848.91561800001,10760.561619,10369.697781,129801.68229396698,51899.246634999996,57639.940546966995,109539.18718196699,20262.49511199999,299084.81476100005
